topic,publication_year,publication_count,search_query,source,topic_clean,topic_slug,topic_year_key,publication_change,publication_growth_yoy_pct,publication_index_2021,extraction_date
Cheminformatics,2023,4606,cheminformatics,OpenAlex,Cheminformatics,cheminformatics,OPENALEX_CHEMINFORMATICS_2023,1609,53.69,183.43,2026-08-01
Cheminformatics,2024,4590,cheminformatics,OpenAlex,Cheminformatics,cheminformatics,OPENALEX_CHEMINFORMATICS_2024,-16,-0.35,182.8,2026-08-01
Cheminformatics,2025,4975,cheminformatics,OpenAlex,Cheminformatics,cheminformatics,OPENALEX_CHEMINFORMATICS_2025,385,8.39,198.13,2026-08-01
Materials informatics,2021,398,"""materials informatics""",OpenAlex,Materials informatics,materials_informatics,OPENALEX_MATERIALS_INFORMATICS_2021,,,100.0,2026-08-01
Materials informatics,2022,511,"""materials informatics""",OpenAlex,Materials informatics,materials_informatics,OPENALEX_MATERIALS_INFORMATICS_2022,113,28.39,128.39,2026-08-01
Materials informatics,2023,807,"""materials informatics""",OpenAlex,Materials informatics,materials_informatics,OPENALEX_MATERIALS_INFORMATICS_2023,296,57.93,202.76,2026-08-01
Materials informatics,2024,836,"""materials informatics""",OpenAlex,Materials informatics,materials_informatics,OPENALEX_MATERIALS_INFORMATICS_2024,29,3.59,210.05,2026-08-01
Materials informatics,2025,1021,"""materials informatics""",OpenAlex,Materials informatics,materials_informatics,OPENALEX_MATERIALS_INFORMATICS_2025,185,22.13,256.53,2026-08-01
Molecular machine learning,2021,189,"""molecular machine learning""",OpenAlex,Molecular machine learning,molecular_machine_learning,OPENALEX_MOLECULAR_MACHINE_LEARNING_2021,,,100.0,2026-08-01
Molecular machine learning,2022,263,"""molecular machine learning""",OpenAlex,Molecular machine learning,molecular_machine_learning,OPENALEX_MOLECULAR_MACHINE_LEARNING_2022,74,39.15,139.15,2026-08-01
Molecular machine learning,2023,633,"""molecular machine learning""",OpenAlex,Molecular machine learning,molecular_machine_learning,OPENALEX_MOLECULAR_MACHINE_LEARNING_2023,370,140.68,334.92,2026-08-01
Molecular machine learning,2024,633,"""molecular machine learning""",OpenAlex,Molecular machine learning,molecular_machine_learning,OPENALEX_MOLECULAR_MACHINE_LEARNING_2024,0,0.0,334.92,2026-08-01
Molecular machine learning,2025,549,"""molecular machine learning""",OpenAlex,Molecular machine learning,molecular_machine_learning,OPENALEX_MOLECULAR_MACHINE_LEARNING_2025,-84,-13.27,290.48,2026-08-01
Reaction prediction,2021,197,"""reaction prediction"" AND (""machine learning"" OR ""artificial intelligence"")",OpenAlex,Reaction prediction,reaction_prediction,OPENALEX_REACTION_PREDICTION_2021,,,100.0,2026-08-01
Reaction prediction,2022,256,"""reaction prediction"" AND (""machine learning"" OR ""artificial intelligence"")",OpenAlex,Reaction prediction,reaction_prediction,OPENALEX_REACTION_PREDICTION_2022,59,29.95,129.95,2026-08-01
Reaction prediction,2023,484,"""reaction prediction"" AND (""machine learning"" OR ""artificial intelligence"")",OpenAlex,Reaction prediction,reaction_prediction,OPENALEX_REACTION_PREDICTION_2023,228,89.06,245.69,2026-08-01
Reaction prediction,2024,505,"""reaction prediction"" AND (""machine learning"" OR ""artificial intelligence"")",OpenAlex,Reaction prediction,reaction_prediction,OPENALEX_REACTION_PREDICTION_2024,21,4.34,256.35,2026-08-01
Reaction prediction,2025,576,"""reaction prediction"" AND (""machine learning"" OR ""artificial intelligence"")",OpenAlex,Reaction prediction,reaction_prediction,OPENALEX_REACTION_PREDICTION_2025,71,14.06,292.39,2026-08-01
