"physUrl";"id";"availableLanguages";"status";"archivedDate";"type";"source";"represents";"projectID"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e521a86b8f&appId=PPGMS";"d559acb5238ea05f5d74a8cc67a3406e";"en";"";"";"projectDeliverable";"corda";"";"101069586"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f8608c80&appId=PPGMS";"c88d3a8c527c3de650411183fc532474";"en";"";"";"projectDeliverable";"corda";"project";"101069586"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50956b860&appId=PPGMS";"b917f255844c1299f502d19c6c7fab1a";"en";"";"";"projectDeliverable";"corda";"";"101069586"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5001d2076&appId=PPGMS";"9537417245e500ce02dd7c4488a9af74";"en";"";"";"projectDeliverable";"corda";"project";"101069586"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f943672e&appId=PPGMS";"ca677561c7c6abe2d953acd9b2e3cb4a";"en";"";"";"projectDeliverable";"corda";"project";"101069586"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e52b30b2dd&appId=PPGMS";"95b09b9b8434d88060bde24ee501c3ff";"en";"";"";"projectDeliverable";"corda";"";"101069586"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fde7602b&appId=PPGMS";"0e5f9fd4ca2f06b3005aa2f5278abbd2";"en";"";"";"projectDeliverable";"corda";"project";"101069586"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e52b4555b0&appId=PPGMS";"40bb493d011347137c4f1b28447d7789";"en";"";"";"projectDeliverable";"corda";"";"101069586"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e52b30b2df&appId=PPGMS";"819a98e240515595a33e1e9db14de154";"en";"";"";"projectDeliverable";"corda";"";"101069586"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e514100123&appId=PPGMS";"41d2b344670ad5217ebf49c19fd67439";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e523496ced&appId=PPGMS";"26c5b3784ee33eb67073a5d9a6072b84";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e505741e4a&appId=PPGMS";"f6ff265fc890ac26fcd669c85939683f";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e507dbfa70&appId=PPGMS";"59571efe0291931448a77fb641da3eb2";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f3130f47&appId=PPGMS";"20f1acd59ce9f97e57954292507fe382";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f714d9a3&appId=PPGMS";"f8c1bb9d5aef8b4ee1391d95ee926bf7";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e514cf1996&appId=PPGMS";"cbe3fcae0c18d688d5783e26445134ba";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f1f09fe1&appId=PPGMS";"08999c1c2f7b43b5f7327ade6f1d7572";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e51ec9bb38&appId=PPGMS";"99c4bc71111e06f4b30712a504cd5cb2";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5140e9e0e&appId=PPGMS";"9ffd2fc19464443ea36b7e23db2dac21";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e523495873&appId=PPGMS";"648a5d1e62a12386ed6b96f1cfbb4809";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f59070e3&appId=PPGMS";"15647a0fa35b4b23f416912bdda31e44";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5140f375a&appId=PPGMS";"5843289703e9a9a3e189c0f28d9179c4";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e520333ad9&appId=PPGMS";"6a2cbe3fbd8955fcc7c19266b60e0ef6";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f3133173&appId=PPGMS";"c9a52b91c72daa3cee46fab5a0d0ca0a";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f6246d53&appId=PPGMS";"d111f51330cdcaf500fb1e547d31a97b";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f617e981&appId=PPGMS";"3df53ed65f990e7ba58e6faa32c702fb";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e52349ab33&appId=PPGMS";"31e39d237e77d85ef0e6f4e1891babd1";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5ff146a8a&appId=PPGMS";"22b4e202f8bbf6da00b52c5a5c8aa31c";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e523499798&appId=PPGMS";"98ac19d07ffd9fc85a86a74afa88e59b";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e51fdbaec2&appId=PPGMS";"e6fd78661b5bcbac6b8b9f66f37e8812";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50746403e&appId=PPGMS";"40f07f1d640c93fc4da2cef962c3b502";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fe833743&appId=PPGMS";"d9aa25d5cc328839b8f5ce9b0104d4f7";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fe833573&appId=PPGMS";"c756495efbd9016d834b1f5a24cb283b";"en";"";"";"projectDeliverable";"corda";"";"101069604"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e529da3760&appId=PPGMS";"b450f5ccfd03e6a5aefec93cf14deb72";"en";"";"";"projectDeliverable";"corda";"";"101069529"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5101e861b&appId=PPGMS";"ed574969fcb29655ec821810ff5247db";"en";"";"";"projectDeliverable";"corda";"";"101069529"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e526eb28e7&appId=PPGMS";"ce8e9b1584be4f47d580799705ca5058";"en";"";"";"projectDeliverable";"corda";"";"101069529"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e519474258&appId=PPGMS";"f1eadff1dfeddee64f5a7d0852d68969";"en";"";"";"projectDeliverable";"corda";"";"101069529"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5156a8633&appId=PPGMS";"bfc578fa276afe9bb90c1f28aaf884c7";"en";"";"";"projectDeliverable";"corda";"";"101069529"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e51803a210&appId=PPGMS";"7946bc57a226838810e10cf55c40e15d";"en";"";"";"projectDeliverable";"corda";"";"101069529"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e529ba85a4&appId=PPGMS";"8eed6a8c955d06d29a593768b02c84b9";"en";"";"";"projectDeliverable";"corda";"";"101069529"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fb3127e2&appId=PPGMS";"bf1e7a69114a2aa4930d24006283c9b5";"en";"";"";"projectDeliverable";"corda";"project";"101069529"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fde4822e&appId=PPGMS";"8e50b378d6f12ab0afb975215f315fa9";"en";"";"";"projectDeliverable";"corda";"project";"101069529"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50a062ad8&appId=PPGMS";"318bdbc6c27ada323387adb0da54c98c";"en";"";"";"projectDeliverable";"corda";"project";"101069529"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e512cead11&appId=PPGMS";"b6183d11b0e69c47011958f778ace7da";"en";"";"";"projectDeliverable";"corda";"";"101069529"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f5baec3f&appId=PPGMS";"77e8848818dee027c0ac7564b858b26d";"en";"";"";"projectDeliverable";"corda";"project";"101069508"
"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f48ec25e&appId=PPGMS";"55b10b846cdad0aeffce0c1819f25446";"en";"";"";"projectDeliverable";"corda";"project";"101069508"
